1 0 0 0
1 0.022407 0 0
1 0.044814 0 0
1 0.0672211 0 0
1 0.0896281 0 0
1 0.112035 0 0
1 0.134442 0 0
1 0.156849 0 0
1 0.179256 0 0
1 0.201663 0 0
1 0.22407 0 0
1 0.246477 0 0
1 0.268884 0 0
1 0.291291 0 0
1 0.313698 0 0
1 0.336105 0 0
1 0.358512 0 0
1 0.380919 0 0
1 0.403326 0 0
1 0.425733 0 0
1 0.44814 0 0
1 0.470547 0 0
1 0.492955 0 0
1 0.515362 0 0
1 0.537769 0 0
1 0.560176 0 0
1 0.582583 0 0
1 0.60499 0 0
1 0.627397 0 0
1 0.649804 0 0
1 0.672211 0 0
1 0.694618 0 0
1 0.717025 0 0
1 0.739432 0 0
1 0.761839 0 0
1 0.784246 0 0
1 0.806653 0 0
1 0.82906 0.00776201 0.00776201
1 0.851467 0.0147281 0.0147281
1 0.873874 0.0419756 0.0419756
1 0.896281 0.0798568 0.0798568
1 0.918688 0.15211 0.15211
1 0.941095 0.277986 0.277986
1 0.963502 0.524936 0.524936
1 0.985909 1.09141 1.09141
1 1.00832 1.66613 1.66613
1 1.03072 3.5893 3.5893
1 1.05313 4.24286 4.24286
1 1.07554 2.16247 2.16247
1 1.09794 1.07808 1.07808
1 1.12035 0.539307 0.539307
1 1.14276 0.23459 0.23459
1 1.16517 0.110889 0.110889
1 1.18757 0.0533913 0.0533913
1 1.20998 0.033075 0.033075
1 1.23239 0.0212626 0.0212626
1 1.25479 0.0136777 0.0136777
1 1.2772 0.0198092 0.0198092
1 1.29961 0.0127585 0.0127585
1 1.32201 0.0154166 0.0154166
1 1.34442 0.0208757 0.0208757
1 1.36683 0.0202023 0.0202023
1 1.38924 0.0614775 0.0614775
1 1.41164 0.178669 0.178669
1 1.43405 0.354216 0.354216
1 1.45646 0.643713 0.643713
1 1.47886 1.22925 1.22925
1 1.50127 0.65884 0.65884
1 1.52368 0.365236 0.365236
1 1.54608 0.225988 0.225988
1 1.56849 0.103223 0.103223
1 1.5909 0.0405693 0.0405693
1 1.61331 0.0436113 0.0436113
1 1.63571 0.0383915 0.0383915
1 1.65812 0.0432679 0.0432679
1 1.68053 0.0574492 0.0574492
1 1.70293 0.11751 0.11751
1 1.72534 0.234446 0.234446
1 1.74775 0.41628 0.41628
1 1.77015 0.846289 0.846289
1 1.79256 1.68785 1.68785
1 1.81497 3.03535 3.03535
1 1.83738 2.13786 2.13786
1 1.85978 1.00199 1.00199
1 1.88219 0.504496 0.504496
1 1.9046 0.246382 0.246382
1 1.927 0.137137 0.137137
1 1.94941 0.0741387 0.0741387
1 1.97182 0.0557483 0.0557483
1 1.99423 0.057235 0.057235
1 2.01663 0.0906296 0.0906296
1 2.03904 0.207307 0.207307
1 2.06145 0.458004 0.458004
1 2.08385 0.916498 0.916498
1 2.10626 1.12456 1.12456
1 2.12867 0.544582 0.544582
1 2.15107 0.280157 0.280157
1 2.17348 0.157315 0.157315
1 2.19589 0.0911321 0.0911321
1 2.2183 0.0793862 0.0793862
2 0 0 0
2 0.022407 0 0
2 0.044814 0 0
2 0.0672211 0 0
2 0.0896281 0 0
2 0.112035 0 0
2 0.134442 0 0
2 0.156849 0 0
2 0.179256 0 0
2 0.201663 0 0
2 0.22407 0 0
2 0.246477 0 0
2 0.268884 0 0
2 0.291291 0 0
2 0.313698 0 0
2 0.336105 0 0
2 0.358512 0 0
2 0.380919 0 0
2 0.403326 0 0
2 0.425733 0 0
2 0.44814 0 0
2 0.470547 0 0
2 0.492955 0 0
2 0.515362 0 0
2 0.537769 0 0
2 0.560176 0 0
2 0.582583 0 0
2 0.60499 0 0
2 0.627397 0 0
2 0.649804 0 0
2 0.672211 0 0
2 0.694618 0 0
2 0.717025 0 0
2 0.739432 0 0
2 0.761839 0 0
2 0.784246 0 0
2 0.806653 0 0
2 0.82906 0.0206987 0.0136909
2 0.851467 0.0392749 0.0259779
2 0.873874 0.149246 0.109974
2 0.896281 0.381538 0.305184
2 0.918688 0.55351 0.410895
2 0.941095 0.862159 0.605819
2 0.963502 1.21908 0.757424
2 0.985909 1.79697 0.945979
2 1.00832 1.98952 1.01484
2 1.03072 3.56742 2.0724
2 1.05313 3.82841 2.48443
2 1.07554 2.51824 1.2982
2 1.09794 1.59188 0.8071
2 1.12035 1.06149 0.607971
2 1.14276 0.633804 0.421564
2 1.16517 0.419794 0.31547
2 1.18757 0.266956 0.215778
2 1.20998 0.1519 0.12035
2 1.23239 0.0826878 0.0626399
2 1.25479 0.0797868 0.0665791
2 1.2772 0.0704328 0.0518994
2 1.29961 0.0574133 0.0452583
2 1.32201 0.0637219 0.0491185
2 1.34442 0.0596447 0.0405993
2 1.36683 0.11929 0.0997716
2 1.38924 0.242184 0.184159
2 1.41164 0.355534 0.204749
2 1.43405 0.500276 0.251309
2 1.45646 0.736156 0.382972
2 1.47886 1.1733 0.71191
2 1.50127 0.651652 0.380449
2 1.52368 0.460616 0.231437
2 1.54608 0.328436 0.165889
2 1.56849 0.251834 0.160115
2 1.5909 0.206405 0.167482
2 1.61331 0.157831 0.116962
2 1.63571 0.129319 0.0935898
2 1.65812 0.177005 0.13605
2 1.68053 0.275756 0.220812
2 1.70293 0.436465 0.326091
2 1.72534 0.575514 0.366945
2 1.74775 0.79595 0.449347
2 1.77015 1.22626 0.618958
2 1.79256 1.83496 0.98552
2 1.81497 2.76638 1.77298
2 1.83738 2.15016 1.23436
2 1.85978 1.29633 0.649073
2 1.88219 0.932554 0.517757
2 1.9046 0.589326 0.371275
2 1.927 0.38904 0.264053
